vendor_code,vendor_name,city_id,business_line,grade
27m6r9,کیک و شیرینی دارچین,1,Pastry,Not Enough Comments
2ym616,کول کافه,2,Cafe,A
2nll64,شیرینی سلطان,1,Pastry,Not Enough Comments
51y47n,قهوه رستینو,2,Cafe,A
2yl3x5,نان فانتزی سامیار,1,Pastry,Not Enough Comments
26947p,کوکیز,1,Pastry,Not Enough Comments
5r6ylx,کیک و شیرینی شاهرودی,1,Pastry,Not Enough Comments
5klwnm,کافه رستری شاهبینز,2,Cafe,A
27mokl,سبزی خرد کنی ریحانه سعید اصلی ,2,Fruit Shop,A
27749m,شیرینی سرای آنا ,1,Pastry,Not Enough Comments
28xlp2,شیرینی بهشت,1,Pastry,Not Enough Comments
27mz7n,قنادی طلوع,1,Pastry,Not Enough Comments
531ozm,سوپر میوه سید,2,Fruit Shop,A
59xog8,پروتئین صدیق ,2,Meat Shop,A
5m7yr5,کترینگ آذر,1,Restaurant,Not Enough Comments
28pk4o,ساندویچ جاوید,1,Restaurant,Not Enough Comments
2o33l1,کافه برگر,1,Restaurant,Not Enough Comments
269lp4,فست فود یاسین ,1,Restaurant,Not Enough Comments
2mm384,سوخاری زد اف سی ,1,Restaurant,Not Enough Comments
2r6z4n,کباب افخمی,1,Restaurant,Not Enough Comments
2nk813,کافه نیمرو,1,Restaurant,Not Enough Comments
2o3g7x,سوپر پروتئین آندره,2,Meat Shop,A
5lllo6,پاپا,1,Restaurant,Not Enough Comments
231nlo,سوپر پروتئین ابریشم ,2,Meat Shop,A
5o1xwg,کباب مسعود,1,Restaurant,Not Enough Comments
5zkxlx,جام جم فرشته,2,Meat Shop,A
5lzn1k,غذای رضائیان,1,Restaurant,Not Enough Comments
231911,فست فود رئوف,1,Restaurant,Not Enough Comments
5nkxn9,کیک خونگی,2,Pastry,A
5g87p2,ساندویچ سرد بایت,1,Restaurant,Not Enough Comments
5kly8m,فست فود سجاد,1,Restaurant,Not Enough Comments
5mmw4m,کترینگ آبتین,1,Restaurant,Not Enough Comments
2p3x1x,فست فود کارا,1,Restaurant,Not Enough Comments
5w1m7g,رستوران و مطعم جاودانی,1,Restaurant,Not Enough Comments
2p38n7,فست فود چوپی,2,Restaurant,A
2w736w,رایمون,1,Restaurant,Not Enough Comments
5z69m5,سُسیب,1,Restaurant,Not Enough Comments
54nlyl,ساندویچ شهریار,1,Restaurant,Not Enough Comments
5p3nwk,هپی برگر,2,Restaurant,A
2r9k8l,پیتزا میکس,1,Restaurant,Not Enough Comments
2ng8l5,کترینگ خاقان,1,Restaurant,Not Enough Comments
2ym1yx,کافه صبحانه وطن,1,Restaurant,Not Enough Comments
569xro,عمارت 13 ,1,Restaurant,Not Enough Comments
2r96rz,اغذیه چیت,1,Restaurant,Not Enough Comments
2r7395,غذا خانگی لاویج,1,Restaurant,Not Enough Comments
2lz9p3,فست فود کاج,1,Restaurant,Not Enough Comments
2x47w4,آپلو,1,Restaurant,Not Enough Comments
2xgoyn,کافه رستوران جاوی,1,Restaurant,Not Enough Comments
21oyk1,کینگ فود,1,Restaurant,Not Enough Comments
2319ko,کترینگ آویشن,1,Restaurant,Not Enough Comments
2nl79o,پیتزا جوان,1,Restaurant,Not Enough Comments
5gxozw,فلافل بی نظیر,2,Restaurant,A
51omng,فست فود 91 ,1,Restaurant,Not Enough Comments
2z4k37,بهارستان غرب,1,Restaurant,Not Enough Comments
5nlnpz,فست فود ملک,1,Restaurant,Not Enough Comments
5lzg1o,وال برگر,1,Restaurant,Not Enough Comments
5w3w49,فست فود پیتزا پیتزا,2,Restaurant,A
53z3o4,کافه رستوران نیکی ,1,Restaurant,Not Enough Comments
5o34w7,پیتزا روز,2,Restaurant,A
